type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
MUTEX, 8, 9900, 50, 50, 192284
MUTEX, 8, 9900, 50, 50, 76428
MUTEX, 8, 9900, 50, 50, 42333
MUTEX, 8, 9900, 50, 50, 15568
MUTEX, 8, 9900, 50, 50, 8951
MUTEX, 8, 9900, 50, 50, 7684
MUTEX, 8, 9900, 50, 50, 8611
MUTEX, 8, 9900, 50, 50, 6800
MUTEX, 8, 9900, 50, 50, 5532
MUTEX, 8, 9900, 50, 50, 6074
MUTEX, 8, 9900, 50, 50, 5353
MUTEX, 8, 9900, 50, 50, 5774
MUTEX, 8, 9900, 50, 50, 7465
MUTEX, 8, 9900, 50, 50, 6392
MUTEX, 8, 9900, 50, 50, 6698
MUTEX, 8, 9900, 50, 50, 7024
MUTEX, 8, 9900, 50, 50, 6251
MUTEX, 8, 9900, 50, 50, 7267
MUTEX, 8, 9900, 50, 50, 5473
MUTEX, 8, 9900, 50, 50, 5199
MUTEX, 8, 9900, 50, 50, 6826
MUTEX, 8, 9900, 50, 50, 5083
MUTEX, 8, 9900, 50, 50, 5327
MUTEX, 8, 9900, 50, 50, 7455
MUTEX, 8, 9900, 50, 50, 6227
MUTEX, 8, 9900, 50, 50, 6227
MUTEX, 8, 9900, 50, 50, 6367
MUTEX, 8, 9900, 50, 50, 5518
MUTEX, 8, 9900, 50, 50, 9667
MUTEX, 8, 9900, 50, 50, 8146
MUTEX, 8, 9900, 50, 50, 7414
MUTEX, 8, 9900, 50, 50, 9305
MUTEX, 8, 9900, 50, 50, 7955
MUTEX, 8, 9900, 50, 50, 6087
MUTEX, 8, 9900, 50, 50, 6488
MUTEX, 8, 9900, 50, 50, 7306
MUTEX, 8, 9900, 50, 50, 6843
MUTEX, 8, 9900, 50, 50, 6928
MUTEX, 8, 9900, 50, 50, 7573
MUTEX, 8, 9900, 50, 50, 6039
MUTEX, 8, 9900, 50, 50, 7080
MUTEX, 8, 9900, 50, 50, 6891
MUTEX, 8, 9900, 50, 50, 5963
MUTEX, 8, 9900, 50, 50, 6762
MUTEX, 8, 9900, 50, 50, 6849
MUTEX, 8, 9900, 50, 50, 7959
MUTEX, 8, 9900, 50, 50, 9113
MUTEX, 8, 9900, 50, 50, 8416
MUTEX, 8, 9900, 50, 50, 7439
MUTEX, 8, 9900, 50, 50, 8933
MUTEX, 8, 9900, 50, 50, 8017
MUTEX, 8, 9900, 50, 50, 6656
MUTEX, 8, 9900, 50, 50, 7705
MUTEX, 8, 9900, 50, 50, 6165
MUTEX, 8, 9900, 50, 50, 8865
MUTEX, 8, 9900, 50, 50, 4686
MUTEX, 8, 9900, 50, 50, 8320
MUTEX, 8, 9900, 50, 50, 7346
