type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
SERIAL, 1, 9900, 50, 50, 1555
SERIAL, 1, 9900, 50, 50, 1271
MUTEX, 1, 9900, 50, 50, 1010
MUTEX, 2, 9000, 500, 500, 1616
MUTEX, 2, 9000, 500, 500, 1539
MUTEX, 2, 5000, 2500, 2500, 1296
MUTEX, 8, 5000, 2500, 2500, 3951
MUTEX, 8, 5000, 2500, 2500, 772
MUTEX, 8, 5000, 2500, 2500, 594
MUTEX, 4, 5000, 2500, 2500, 635
MUTEX, 1, 5000, 2500, 2500, 1053
MUTEX, 1, 5000, 2500, 2500, 804
MUTEX, 2, 5000, 2500, 2500, 764
MUTEX, 2, 5000, 2500, 2500, 664
MUTEX, 2, 5000, 2500, 2500, 669
MUTEX, 4, 5000, 2500, 2500, 623
MUTEX, 4, 5000, 2500, 2500, 599
MUTEX, 8, 5000, 2500, 2500, 579
MUTEX, 8, 5000, 2500, 2500, 584
MUTEX, 4, 5000, 2500, 2500, 649
MUTEX, 4, 5000, 2500, 2500, 714
MUTEX, 4, 5000, 2500, 2500, 595
MUTEX, 8, 5000, 2500, 2500, 574
MUTEX, 8, 9900, 50, 50, 949
